@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
197,'2018/11/21 10:37:13:679',5,-4672336,-5726577,-3487547,-65537,-592136,-394758,-1,-1,-1,-3160383,-5133917,-5463919,-3093046,-1,-1,-1,-1,-1,-65794,-3687755,-5661293,-5398898,-4015439,-2436149,-2699578,-3029058,-3424074,-3753553,-5465713,-7703960,-6188412,-5530743,-6122621,-7832465,-5925755,-5267827,-5268085,-5597820,-7046290,-7572118,-6517894,-8227997,-15201013,-11259868,-11717581,-10272708,-8956081,-9021106,-8296096,-7703703,-7439253,-15331314,-16121341,-10407131,-11655132,-11326684,-11394273,-11196383,-10205376,-8098202,-7242133,-11780042,-16448765,-12178912,-11586259,-9482685,-7770008,-8494763,-7967132,-7309202,-7637149,-6912915,-7372950,-8096156,-6715018,-5859708,-6318453,-5991802,-6585997,-7178132,-5464176,-5266797,-5200747,-5069159,-5002850,-4673368,-4211786,-3554630,-5861761,-7112339,-4082004,-4015953,-3884109,-3817800,-3685697,-3421492,-2301462,-327938,-658447,-3094591,1
198,'2018/11/21 10:37:13:712',5,-4672336,-5726577,-3487547,-65794,-987150,-723722,-1,-1,-1,-3160639,-5133917,-5463919,-3093046,-1,-1,-1,-1,-1,-65794,-3687755,-5661549,-5398898,-4015439,-2436149,-2699578,-3029058,-3424074,-3753553,-5465969,-7703960,-6188412,-5530743,-6122621,-7832465,-5925755,-5267827,-5333621,-5597820,-7046290,-7572117,-6517894,-8227997,-15201013,-11259868,-11717581,-10272708,-8956337,-9021106,-8296096,-7703703,-7439253,-15331314,-16121341,-10407131,-11655132,-11326684,-11394273,-11261919,-10205376,-8098202,-7242133,-11780042,-16448765,-12178912,-11586259,-9482685,-7770008,-8494764,-7967132,-7309203,-7637149,-6912915,-7372950,-8096156,-6715018,-5859708,-6318453,-5991802,-6585997,-7178132,-5464176,-5332333,-5200746,-5069159,-5002850,-4738904,-4211786,-3554374,-5861761,-7112339,-4082005,-4015953,-3949645,-3817800,-3685697,-3421492,-2301462,-327938,-658447,-3094591,1
199,'2018/11/21 10:37:13:745',5,-4672336,-5726577,-3487547,-131587,-1776665,-1447701,-65794,-1,-1,-3160383,-5133917,-5463919,-3093046,-1,-1,-1,-1,-1,-65794,-3687755,-5661549,-5398898,-4015439,-2436149,-2699578,-3028802,-3424074,-3753554,-5465713,-7703960,-6253948,-5596279,-6122621,-7832721,-5925755,-5267827,-5333621,-5597820,-7046290,-7506582,-6517894,-8227997,-15201013,-11259868,-11717581,-10338245,-9021873,-9021106,-8296096,-7769240,-7439253,-15331314,-16186877,-10407387,-11654876,-11326684,-11394273,-11261919,-10205376,-8098202,-7242133,-11714250,-16448765,-12244448,-11586259,-9482685,-7770008,-8494764,-7967132,-7309202,-7637149,-6912914,-7372950,-8030620,-6715018,-5925244,-6318453,-5991802,-6585997,-7178132,-5464176,-5332333,-5200747,-5069159,-5002850,-4738905,-4211786,-3554630,-5861761,-7112339,-4082005,-4015953,-3949645,-3817800,-3685697,-3421492,-2301462,-327938,-658447,-3094591,1
200,'2018/11/21 10:37:13:796',5,-4672336,-5726577,-3487547,-197380,-2105374,-1776409,-131586,-1,-1,-3160639,-5133917,-5463919,-3093046,-1,-1,-1,-1,-1,-65794,-3753291,-5661293,-5398898,-4015438,-2436149,-2699578,-3028802,-3424075,-3753554,-5465713,-7769753,-6188412,-5596279,-6188157,-7832721,-5925755,-5267827,-5333621,-5597820,-7046290,-7506582,-6517894,-8227997,-15201013,-11259868,-11717581,-10338245,-9021874,-9021106,-8361632,-7769239,-7439253,-15396850,-16186877,-10407387,-11654876,-11326684,-11459809,-11196383,-10205376,-8163738,-7242133,-11714250,-16448765,-12244448,-11586259,-9482685,-7769752,-8494764,-7967132,-7309202,-7637149,-6912915,-7372950,-8030620,-6715018,-5925245,-6318453,-5991803,-6585997,-7178132,-5464176,-5332333,-5200747,-5069159,-5002850,-4738905,-4211786,-3554630,-5861761,-7112339,-4082005,-4015953,-3884109,-3817800,-3685697,-3421492,-2301462,-327938,-658447,-3094592,1
201,'2018/11/21 10:37:13:829',5,-4672336,-5726577,-3487547,-263173,-2368802,-2039837,-197379,-1,-1,-3160383,-5133917,-5463919,-3093046,-1,-1,-1,-1,-1,-65794,-3687755,-5661293,-5398898,-4015439,-2436149,-2699578,-3028802,-3424074,-3753554,-5465714,-7769752,-6188412,-5530743,-6188157,-7832721,-5925755,-5267828,-5333621,-5597821,-7046290,-7506582,-6517894,-8227997,-15201013,-11259868,-11717581,-10272708,-8956338,-9021106,-8361632,-7769239,-7439253,-15331314,-16186877,-10407387,-11654876,-11326684,-11459809,-11261919,-10205376,-8163738,-7242133,-11714250,-16448765,-12244448,-11651795,-9482685,-7769752,-8494764,-7967132,-7309203,-7637149,-6912914,-7372950,-8030619,-6715018,-5925244,-6318453,-5991803,-6585997,-7178132,-5464176,-5332333,-5200747,-5069160,-5002850,-4738905,-4211786,-3554630,-5861761,-7112339,-4082005,-4015953,-3884109,-3817800,-3685697,-3421492,-2301462,-327938,-658447,-3094592,1
202,'2018/11/21 10:37:13:863',5,-4672336,-5726577,-3487547,-329222,-2631974,-2303009,-263172,-1,-1,-3160639,-5133917,-5463919,-3093046,-1,-1,-1,-1,-1,-65794,-3687755,-5661293,-5398898,-4015439,-2436149,-2699578,-3029058,-3424074,-3753554,-5465969,-7769753,-6188412,-5530743,-6122621,-7832721,-5925755,-5267828,-5333621,-5598077,-7046290,-7506838,-6517894,-8227997,-15201013,-11259868,-11717581,-10272708,-8956337,-9021106,-8361632,-7769239,-7439253,-15331314,-16186877,-10407387,-11654876,-11326684,-11459809,-11261920,-10205376,-8163738,-7242133,-11714250,-16448765,-12244448,-11586259,-9482429,-7769752,-8494764,-7901596,-7309203,-7637149,-6912914,-7372950,-8030620,-6715018,-5925244,-6318453,-5991803,-6585997,-7178132,-5464176,-5266797,-5200747,-5069159,-5002850,-4738905,-4211786,-3554630,-5861761,-7112339,-4082004,-4015953,-3884109,-3817800,-3685697,-3421492,-2301462,-327938,-658447,-3094592,1
203,'2018/11/21 10:37:13:898',5,-4672336,-5726577,-3487547,-460551,-2829353,-2631717,-328965,-1,-1,-3160639,-5133917,-5463919,-3093046,-1,-1,-1,-1,-1,-65794,-3687755,-5661549,-5398898,-4015438,-2436149,-2699578,-3028802,-3424074,-3753554,-5465969,-7769753,-6188412,-5530743,-6122621,-7832721,-5925755,-5267827,-5268085,-5598076,-7046290,-7506838,-6517894,-8227997,-15201013,-11259868,-11717581,-10272708,-8956337,-9021105,-8361632,-7769239,-7439253,-15331314,-16186877,-10407131,-11654876,-11326684,-11459809,-11261920,-10205376,-8163738,-7242133,-11780042,-16448765,-12178912,-11652051,-9482429,-7769752,-8494764,-7967133,-7309203,-7637149,-6912914,-7372950,-8030620,-6715018,-5925244,-6318453,-5991802,-6585997,-7178132,-5464176,-5266797,-5200746,-5069159,-5002850,-4738905,-4211786,-3554374,-5861761,-7112339,-4082004,-4015953,-3884109,-3817800,-3685697,-3421492,-2301462,-327938,-658447,-3094592,1
204,'2018/11/21 10:37:13:942',5,-4672335,-5726577,-3487547,-526344,-3092525,-2895145,-460551,-1,-1,-3160383,-5133917,-5463919,-3093046,-1,-1,-1,-1,-1,-65794,-3687755,-5661293,-5398898,-4015439,-2436149,-2699578,-3029058,-3424074,-3753554,-5465969,-7769753,-6188411,-5530743,-6122621,-7832465,-5925755,-5267827,-5333621,-5598077,-7046290,-7506582,-6517894,-8227997,-15201013,-11259868,-11717581,-10272708,-8956337,-9021105,-8361632,-7769240,-7438997,-15331314,-16186877,-10407131,-11654877,-11326684,-11459809,-11261920,-10205376,-8163738,-7242133,-11780042,-16448765,-12244448,-11652051,-9482685,-7770008,-8494764,-7967133,-7309203,-7637149,-6912915,-7372950,-8096156,-6715019,-5859708,-6318453,-5991802,-6585997,-7178132,-5464176,-5266797,-5200746,-5069159,-5002850,-4738905,-4211786,-3554630,-5861761,-7112339,-4082004,-4015953,-3949645,-3817800,-3685697,-3421492,-2301462,-328194,-658447,-3094592,1
205,'2018/11/21 10:37:13:976',5,-4672335,-5726577,-3487547,-526344,-3092525,-2895145,-460551,-1,-1,-3160383,-5133917,-5463919,-3093046,-1,-1,-1,-1,-1,-65794,-3687755,-5661293,-5398898,-4015439,-2436149,-2699578,-3029058,-3424074,-3753554,-5465969,-7769753,-6188411,-5530743,-6122621,-7832465,-5925755,-5267827,-5333621,-5598077,-7046290,-7506582,-6517894,-8227997,-15201013,-11259868,-11717581,-10272708,-8956337,-9021105,-8361632,-7769240,-7438997,-15331314,-16186877,-10407131,-11654877,-11326684,-11459809,-11261920,-10205376,-8163738,-7242133,-11780042,-16448765,-12244448,-11652051,-9482685,-7770008,-8494764,-7967133,-7309203,-7637149,-6912915,-7372950,-8096156,-6715019,-5859708,-6318453,-5991802,-6585997,-7178132,-5464176,-5266797,-5200746,-5069159,-5002850,-4738905,-4211786,-3554630,-5861761,-7112339,-4082004,-4015953,-3949645,-3817800,-3685697,-3421492,-2301462,-328194,-658447,-3094592,1
206,'2018/11/21 10:37:14:012',5,-4672335,-5726577,-3487547,-789516,-3684662,-3684661,-921357,-1,-1,-3160639,-5133917,-5463919,-3093046,-1,-1,-1,-1,-1,-65794,-3687755,-5661548,-5398898,-4015439,-2436149,-2699578,-3029058,-3424074,-3753554,-5465969,-7769753,-6188412,-5530743,-6122620,-7766928,-5859962,-5267827,-5268085,-5598077,-7046290,-7572374,-6517894,-8162204,-15200757,-11325404,-11783117,-10272452,-8956081,-9021106,-8361632,-7769496,-7438997,-15331314,-16186877,-10407131,-11654877,-11326684,-11459809,-11261920,-10205376,-8163994,-7242133,-11780043,-16448765,-12178912,-11651795,-9482686,-7770009,-8495020,-7967389,-7309203,-7637149,-6912915,-7373206,-8096412,-6780811,-5925244,-6318454,-5991802,-6585997,-7178132,-5464176,-5266797,-5200746,-5069159,-5002850,-4738904,-4211786,-3554630,-5861761,-7112339,-4082005,-4015953,-3949645,-3817800,-3685697,-3421492,-2301462,-328194,-658447,-3094592,1
207,'2018/11/21 10:37:14:045',5,-4672336,-5726577,-3487547,-855565,-3882040,-3882040,-1052943,-1,-1,-3160639,-5133917,-5463919,-3093046,-1,-1,-1,-1,-1,-65794,-3687755,-5661293,-5398898,-4015439,-2436149,-2699579,-3029058,-3424074,-3753554,-5465713,-7769753,-6188412,-5530743,-6122620,-7766928,-5859962,-5267827,-5268085,-5598077,-7046290,-7572374,-6517894,-8162204,-15200757,-11325404,-11783117,-10272452,-8956081,-9021106,-8361632,-7769496,-7438997,-15331314,-16186877,-10407131,-11654877,-11326684,-11459809,-11261920,-10205377,-8163995,-7242133,-11845579,-16448765,-12178912,-11651795,-9482686,-7770009,-8495020,-7967389,-7309203,-7637149,-6912915,-7373206,-8096413,-6780811,-5859708,-6318453,-5991802,-6585997,-7178132,-5464176,-5332333,-5200746,-5069159,-5002850,-4738904,-4211786,-3554374,-5861761,-7112339,-4082005,-4015953,-3949645,-3817800,-3685697,-3421492,-2301462,-327938,-658447,-3094848,1
208,'2018/11/21 10:37:14:079',5,-4672336,-5726577,-3487547,-855565,-3882040,-3882040,-1052943,-1,-1,-3160639,-5133917,-5463919,-3093046,-1,-1,-1,-1,-1,-65794,-3687755,-5661293,-5398898,-4015439,-2436149,-2699579,-3029058,-3424074,-3753554,-5465713,-7769753,-6188412,-5530743,-6122620,-7766928,-5859962,-5267827,-5268085,-5598077,-7046290,-7572374,-6517894,-8162204,-15200757,-11325404,-11783117,-10272452,-8956081,-9021106,-8361632,-7769496,-7438997,-15331314,-16186877,-10407131,-11654877,-11326684,-11459809,-11261920,-10205377,-8163995,-7242133,-11845579,-16448765,-12178912,-11651795,-9482686,-7770009,-8495020,-7967389,-7309203,-7637149,-6912915,-7373206,-8096413,-6780811,-5859708,-6318453,-5991802,-6585997,-7178132,-5464176,-5332333,-5200746,-5069159,-5002850,-4738904,-4211786,-3554374,-5861761,-7112339,-4082005,-4015953,-3949645,-3817800,-3685697,-3421492,-2301462,-327938,-658447,-3094848,1
